cow,transponder_id
2051,11499161
2063,11499173
2074,11499184
3131,11724231
3150,11724250
4008,11953978
4026,11953996
4044,11954014
4057,11954027
4072,11954042
4080,11954050
5028,21299192
5035,12199981
5041,12199987
5042,12199988
5046,12199992
5058,12200004
5059,12200005
5061,12200007
5064,12200010
5096,12200042
5100,12200046
5118,12200064
5120,12200066
5120,21292347
5123,12200069
5124,12200070
5135,12200081
5137,12200083
5139,12200085
5145,12200091
6005,12448392
6020,12448407
6022,12448409
6025,12448412
6027,21307343
6029,12448416
6030,12448417
6033,12448420
6041,12448428
6045,12448432
6050,12448437
6055,12448442
6060,12448447
6061,12448448
6062,21268104
6064,12448451
6067,12448454
6068,21268825
6069,21292850
6079,12448466
6084,12448471
6086,12448473
6087,12448474
6090,12448477
6092,12448479
6096,12448483
6121,12448508
6125,21304388
6129,12448516
7018,12706609
7019,12706610
7022,12706613
7023,12706614
7024,12706615
7025,12706616
7027,12706618
7033,12706624
7043,12706634
7045,12706636
7046,12706637
7048,12706639
7060,12706651
7064,12706655
7068,12706659
7078,12706669
7109,12706700
7110,12706701
7114,12706705
7115,12706706
7116,12706707
7119,12706710
7128,12706719
7136,12706727
7138,12706729
7147,12706738
7153,13008732
7163,13008742
8083,13008842
